Categoria,Marca,Modelo,Versão,Motor,Tipo de Propulsão (Combustão / Híbrido / Plug-in / Elétrico),Transmissão e Velocidades (Manual=M / Automática=A / Dupla Embreagem=DCT / Automatizada=MTA / Contínua=CVT),Ar Condicionado (S=Sim / N=Não),Direção Assistida (H=Hidráulica / M=Mecânica / E=Elétrica / E-H=Eletro-hidráulica),Combustível (E=Elétrico / G=Gasolina / F=Flex / D=Diesel),Emissões Poluentes - NMOG+NOx (mg/km),Emissões Poluentes - CO (mg/km),Emissões Poluentes - CHO Aldeídos (mg/km),Emissões Poluentes - Redução Relativa ao Limite (A=≥40% abaixo PROCONVE L7 / B=<40%),Emissões GEE - CO2 Fóssil Etanol (g/km),Emissões GEE - CO2 Fóssil Gasolina ou Diesel (g/km),Emissões GEE - CO2e Fóssil VEHP Plug-in (g/km),Consumo Etanol - Cidade (km/l),Consumo Etanol - Estrada (km/l),Consumo Gasolina ou Diesel - Cidade (km/l),Consumo Gasolina ou Diesel - Estrada (km/l),Consumo Elétrico - Cidade (km/le),Consumo Elétrico - Estrada (km/le),Consumo Energético (MJ/km),Autonomia Modo Elétrico (km),Classificação PBE - Relativa na Categoria (A=Mais Eficiente / B / C / D / E=Menos Eficiente),Classificação PBE - Absoluta Geral (A=Mais Eficiente / B / C / D / E=Menos Eficiente),Selo CONPET de Eficiência Energética (SIM / NÃO),Transmissão - Tipo,Transmissão - Nº Velocidades,Combustível - Descrição,Consumo Gasolina ou Diesel - Combinado (km/l),Consumo Etanol - Combinado (km/l),Consumo Elétrico - Combinado (km/le),Faixa CO2 Gasolina/Diesel (g/km),Zero Emissão (Elétrico Puro),Eletrificado (Elétrico/Híbrido/Plug-in)
Médio,HONDA,HR-V,EXL HONDA SENSING,1.5-16V,Combustão,CVT,S,E,F,31.0,109.0,3.0,A,0.0,100.0,,8.8,9.8,12.7,13.9,,,1.62,,B,C,NÃO,CVT,,Flex,13.24,9.25,,51-100,False,False
Médio,HONDA,HR-V,TOURING,1.5T-16V,Combustão,CVT,S,E,F,37.0,184.0,3.0,B,0.0,113.0,,7.9,8.8,11.3,12.6,,,1.83,,D,C,NÃO,CVT,,Flex,11.89,8.31,,101-150,False,False
Médio,HONDA,HR-V (mod.25),ADVANCE,1.5T-16V,Combustão,CVT,S,E,F,32.0,173.0,4.0,A,0.0,110.0,,8.0,9.2,11.4,13.1,,,1.78,,C,C,NÃO,CVT,,Flex,12.16,8.54,,101-150,False,False
Médio,HONDA,HR-V (mod.25),TOURING,1.5T-16V,Combustão,CVT,S,E,F,32.0,173.0,4.0,A,0.0,110.0,,8.0,9.2,11.4,13.1,,,1.78,,C,C,NÃO,CVT,,Flex,12.16,8.54,,101-150,False,False
Médio,HYUNDAI,IONIQ,HEV,1.6 -16V,Híbrido,A,S,E,G,20.0,95.0,1.0,A,,67.0,,,,18.9,18.8,,,1.09,,A,B,SIM,A,,Gasolina,18.86,,,51-100,False,True
Médio,HYUNDAI,KONA EV,EV39,Elétrico,Elétrico,A,S,E,E,,,,A,,,,,,,,52.5,40.6,0.44,252.0,A,A,NÃO,A,,Elétrico,,,47.14,,True,True
Médio,HYUNDAI,KONA HEV,HEV GLS,1.6 -16V,Híbrido,A,S,E,G,24.0,134.0,1.0,A,,69.0,,,,19.6,17.4,,,1.11,,A,B,SIM,A,,Gasolina,18.61,,,51-100,False,True
Médio,HYUNDAI,KONA HEV,HEV LTD,1.6 -16V,Híbrido,A,S,E,G,24.0,134.0,1.0,A,,69.0,,,,19.6,17.4,,,1.11,,A,B,SIM,A,,Gasolina,18.61,,,51-100,False,True
Médio,HYUNDAI,TUCSON TURBO,GLS,1.6T -16V,Combustão,DCT-7,S,E,G,19.0,247.0,2.0,C,,118.0,,,,10.6,12.2,,,1.93,,E,C,NÃO,DCT,7.0,Gasolina,11.32,,,101-150,False,False
Médio,HYUNDAI,TUCSON TURBO,LTD,1.6T -16V,Combustão,DCT-7,S,E,G,19.0,247.0,2.0,C,,118.0,,,,10.6,12.2,,,1.93,,E,C,NÃO,DCT,7.0,Gasolina,11.32,,,101-150,False,False
